processo,indicador,municipio_sede,orgao_julgador,classe_judicial,data,arquivo_origem,data_arquivo,ordem_arquivo,numero_linha_arquivo,data_processamento,processo_original,processo_norm,indicador_original,indicador_norm,orgao_julgador_original,orgao_norm,classe_judicial_original,classe_norm,municipio_sede_original,municipio_norm,data_dt,data_valida,unidade_e_triagem,sequencia_movimento
0000001-11.2026.5.12.0001,Distribuição,Florianopolis,3 Vara do Trabalho de Florianopolis,ATSum - Procedimento Sumario,02/01/2026 08:00:00,processos_01-01-2026.csv,2026-01-01,0,8,2026-07-23 15:24:07.621968,0000001-11.2026.5.12.0001,0000001-11.2026.5.12.0001,Distribuição,DISTRIBUICAO,3 Vara do Trabalho de Florianopolis,3 VARA DO TRABALHO DE FLORIANOPOLIS,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,2026-01-02 08:00:00,True,False,1
0000002-22.2026.5.12.0001,Distribuição,Florianopolis,1 Vara do Trabalho de Florianopolis,ATSum - Procedimento Sumario,02/01/2026 08:00:00,processos_01-01-2026.csv,2026-01-01,0,9,2026-07-23 15:24:07.621968,0000002-22.2026.5.12.0001,0000002-22.2026.5.12.0001,Distribuição,DISTRIBUICAO,1 Vara do Trabalho de Florianopolis,1 VARA DO TRABALHO DE FLORIANOPOLIS,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,2026-01-02 08:00:00,True,False,1
0000002-22.2026.5.12.0001,Redistribuição,Florianopolis,Setor de Triagem - Equalizacao,ATSum - Procedimento Sumario,03/01/2026 08:00:00,processos_01-01-2026.csv,2026-01-01,0,10,2026-07-23 15:24:07.621968,0000002-22.2026.5.12.0001,0000002-22.2026.5.12.0001,Redistribuição,REDISTRIBUICAO,Setor de Triagem - Equalizacao,SETOR DE TRIAGEM - EQUALIZACAO,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,2026-01-03 08:00:00,True,True,2
0000002-22.2026.5.12.0001,Redistribuição,Florianopolis,5 Vara do Trabalho de Florianopolis,ATSum - Procedimento Sumario,05/01/2026 08:00:00,processos_01-01-2026.csv,2026-01-01,0,11,2026-07-23 15:24:07.621968,0000002-22.2026.5.12.0001,0000002-22.2026.5.12.0001,Redistribuição,REDISTRIBUICAO,5 Vara do Trabalho de Florianopolis,5 VARA DO TRABALHO DE FLORIANOPOLIS,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,2026-01-05 08:00:00,True,False,3
0000003-33.2026.5.12.0001,Distribuição,Florianopolis,2 Vara do Trabalho de Florianopolis,ATSum - Procedimento Sumario,03/01/2026 08:00:00,processos_01-01-2026.csv,2026-01-01,0,12,2026-07-23 15:24:07.621968,0000003-33.2026.5.12.0001,0000003-33.2026.5.12.0001,Distribuição,DISTRIBUICAO,2 Vara do Trabalho de Florianopolis,2 VARA DO TRABALHO DE FLORIANOPOLIS,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,2026-01-03 08:00:00,True,False,1
0000003-33.2026.5.12.0001,Redistribuição,Florianopolis,Setor de Triagem - Equalizacao,ATSum - Procedimento Sumario,04/01/2026 08:00:00,processos_01-01-2026.csv,2026-01-01,0,13,2026-07-23 15:24:07.621968,0000003-33.2026.5.12.0001,0000003-33.2026.5.12.0001,Redistribuição,REDISTRIBUICAO,Setor de Triagem - Equalizacao,SETOR DE TRIAGEM - EQUALIZACAO,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,2026-01-04 08:00:00,True,True,2
0000003-33.2026.5.12.0001,Redistribuição,Florianopolis,6 Vara do Trabalho de Florianopolis,ATSum - Procedimento Sumario,06/01/2026 08:00:00,processos_01-01-2026.csv,2026-01-01,0,14,2026-07-23 15:24:07.621968,0000003-33.2026.5.12.0001,0000003-33.2026.5.12.0001,Redistribuição,REDISTRIBUICAO,6 Vara do Trabalho de Florianopolis,6 VARA DO TRABALHO DE FLORIANOPOLIS,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,2026-01-06 08:00:00,True,False,3
0000003-33.2026.5.12.0001,Redistribuição,Florianopolis,4 Vara do Trabalho de Florianopolis,ATSum - Procedimento Sumario,20/01/2026 08:00:00,processos_01-01-2026.csv,2026-01-01,0,15,2026-07-23 15:24:07.621968,0000003-33.2026.5.12.0001,0000003-33.2026.5.12.0001,Redistribuição,REDISTRIBUICAO,4 Vara do Trabalho de Florianopolis,4 VARA DO TRABALHO DE FLORIANOPOLIS,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,2026-01-20 08:00:00,True,False,4
0000004-44.2026.5.12.0001,Distribuição,Florianopolis,1 Vara do Trabalho de Itajai,ATSum - Procedimento Sumario,05/01/2026 08:00:00,processos_01-01-2026.csv,2026-01-01,0,16,2026-07-23 15:24:07.621968,0000004-44.2026.5.12.0001,0000004-44.2026.5.12.0001,Distribuição,DISTRIBUICAO,1 Vara do Trabalho de Itajai,1 VARA DO TRABALHO DE ITAJAI,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,2026-01-05 08:00:00,True,False,1
0000004-44.2026.5.12.0001,Redistribuição,Florianopolis,Setor de Triagem - Equalizacao,ATSum - Procedimento Sumario,06/01/2026 08:00:00,processos_01-01-2026.csv,2026-01-01,0,17,2026-07-23 15:24:07.621968,0000004-44.2026.5.12.0001,0000004-44.2026.5.12.0001,Redistribuição,REDISTRIBUICAO,Setor de Triagem - Equalizacao,SETOR DE TRIAGEM - EQUALIZACAO,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,2026-01-06 08:00:00,True,True,2
