processo,processo_norm,data_caso_novo,unidade_distribuicao_inicial,unidade_distribuicao_inicial_original,unidade_final_real,unidade_final_real_original,data_ultimo_movimento,classe_judicial,quantidade_movimentos,quantidade_redistribuicoes,passou_por_triagem,municipio_sede,municipio_sede_original,arquivo_origem_ref,numero_linha_arquivo_ref,equalizacao_detectada,equalizacao_valida,quantidade_episodios_triagem,unidade_cedente_equalizacao,unidade_cedente_equalizacao_original,unidade_destinataria_equalizacao,unidade_destinataria_equalizacao_original,data_entrada_triagem,data_destino_equalizacao,motivo_invalidade_equalizacao,unidade_simulada_sem_equalizacao,unidade_simulada_sem_equalizacao_original,classificacao_unidade_final_real,classificacao_unidade_distribuicao_inicial,classificacao_unidade_cedente_equalizacao,classificacao_unidade_destinataria_equalizacao,classificacao_unidade_simulada_sem_equalizacao,tem_anomalia
0000001-11.2026.5.12.0001,0000001-11.2026.5.12.0001,2026-01-02 08:00:00,3 VARA DO TRABALHO DE FLORIANOPOLIS,3 Vara do Trabalho de Florianopolis,3 VARA DO TRABALHO DE FLORIANOPOLIS,3 Vara do Trabalho de Florianopolis,2026-01-02 08:00:00,ATSUM - PROCEDIMENTO SUMARIO,1,0,False,FLORIANOPOLIS,Florianopolis,processos_01-01-2026.csv,8,False,False,0,,,,,,,,3 VARA DO TRABALHO DE FLORIANOPOLIS,3 Vara do Trabalho de Florianopolis,NEUTRA,NEUTRA,,,NEUTRA,False
0000002-22.2026.5.12.0001,0000002-22.2026.5.12.0001,2026-01-02 08:00:00,1 VARA DO TRABALHO DE FLORIANOPOLIS,1 Vara do Trabalho de Florianopolis,5 VARA DO TRABALHO DE FLORIANOPOLIS,5 Vara do Trabalho de Florianopolis,2026-01-05 08:00:00,ATSUM - PROCEDIMENTO SUMARIO,3,2,True,FLORIANOPOLIS,Florianopolis,processos_01-01-2026.csv,9,True,True,1,1 VARA DO TRABALHO DE FLORIANOPOLIS,1 Vara do Trabalho de Florianopolis,5 VARA DO TRABALHO DE FLORIANOPOLIS,5 Vara do Trabalho de Florianopolis,2026-01-03 08:00:00,2026-01-05 08:00:00,,1 VARA DO TRABALHO DE FLORIANOPOLIS,1 Vara do Trabalho de Florianopolis,DESTINATARIA,CEDENTE,CEDENTE,DESTINATARIA,CEDENTE,False
0000003-33.2026.5.12.0001,0000003-33.2026.5.12.0001,2026-01-03 08:00:00,2 VARA DO TRABALHO DE FLORIANOPOLIS,2 Vara do Trabalho de Florianopolis,4 VARA DO TRABALHO DE FLORIANOPOLIS,4 Vara do Trabalho de Florianopolis,2026-01-20 08:00:00,ATSUM - PROCEDIMENTO SUMARIO,4,3,True,FLORIANOPOLIS,Florianopolis,processos_01-01-2026.csv,12,True,True,1,2 VARA DO TRABALHO DE FLORIANOPOLIS,2 Vara do Trabalho de Florianopolis,6 VARA DO TRABALHO DE FLORIANOPOLIS,6 Vara do Trabalho de Florianopolis,2026-01-04 08:00:00,2026-01-06 08:00:00,,2 VARA DO TRABALHO DE FLORIANOPOLIS,2 Vara do Trabalho de Florianopolis,NEUTRA,CEDENTE,CEDENTE,DESTINATARIA,CEDENTE,False
0000004-44.2026.5.12.0001,0000004-44.2026.5.12.0001,2026-01-05 08:00:00,1 VARA DO TRABALHO DE ITAJAI,1 Vara do Trabalho de Itajai,1 VARA DO TRABALHO DE ITAJAI,1 Vara do Trabalho de Itajai,2026-01-06 08:00:00,ATSUM - PROCEDIMENTO SUMARIO,2,1,True,FLORIANOPOLIS,Florianopolis,processos_01-01-2026.csv,16,False,False,1,1 VARA DO TRABALHO DE ITAJAI,1 Vara do Trabalho de Itajai,,,2026-01-06 08:00:00,,Nao ha unidade permanente definitiva apos a triagem,1 VARA DO TRABALHO DE ITAJAI,1 Vara do Trabalho de Itajai,CEDENTE,CEDENTE,CEDENTE,,CEDENTE,True
0000005-55.2026.5.12.0001,0000005-55.2026.5.12.0001,2026-01-05 08:00:00,3 VARA DO TRABALHO DE FLORIANOPOLIS,3 Vara do Trabalho de Florianopolis,6 VARA DO TRABALHO DE FLORIANOPOLIS,6 Vara do Trabalho de Florianopolis,2026-01-08 08:00:00,ATSUM - PROCEDIMENTO SUMARIO,3,2,True,FLORIANOPOLIS,Florianopolis,processos_01-01-2026.csv,18,True,False,1,3 VARA DO TRABALHO DE FLORIANOPOLIS,3 Vara do Trabalho de Florianopolis,6 VARA DO TRABALHO DE FLORIANOPOLIS,6 Vara do Trabalho de Florianopolis,2026-01-06 08:00:00,2026-01-08 08:00:00,Origem nao classificada como CEDENTE (classificacao: NEUTRA),6 VARA DO TRABALHO DE FLORIANOPOLIS,6 Vara do Trabalho de Florianopolis,DESTINATARIA,NEUTRA,NEUTRA,DESTINATARIA,DESTINATARIA,True
0000006-66.2026.5.12.0001,0000006-66.2026.5.12.0001,2026-01-06 08:00:00,VARA INEXISTENTE,Vara Inexistente,VARA INEXISTENTE,Vara Inexistente,2026-01-06 08:00:00,ATSUM - PROCEDIMENTO SUMARIO,1,0,False,FLORIANOPOLIS,Florianopolis,processos_01-01-2026.csv,21,False,False,0,,,,,,,,VARA INEXISTENTE,Vara Inexistente,NAO_CLASSIFICADA,NAO_CLASSIFICADA,,,NAO_CLASSIFICADA,True
0000007-77.2026.5.12.0001,0000007-77.2026.5.12.0001,,1 VARA DO TRABALHO DE JOINVILLE,1 Vara do Trabalho de Joinville,1 VARA DO TRABALHO DE JOINVILLE,1 Vara do Trabalho de Joinville,,ATSUM - PROCEDIMENTO SUMARIO,1,0,False,FLORIANOPOLIS,Florianopolis,processos_01-01-2026.csv,22,False,False,0,,,,,,,,1 VARA DO TRABALHO DE JOINVILLE,1 Vara do Trabalho de Joinville,DESTINATARIA,DESTINATARIA,,,DESTINATARIA,True
0000008-88.2026.5.12.0001,0000008-88.2026.5.12.0001,2026-01-07 08:00:00,1 VARA DO TRABALHO DE BLUMENAU,1 Vara do Trabalho de Blumenau,1 VARA DO TRABALHO DE BLUMENAU,1 Vara do Trabalho de Blumenau,2026-01-07 08:00:00,ATSUM - PROCEDIMENTO SUMARIO,1,0,False,FLORIANOPOLIS,Florianopolis,processos_01-01-2026.csv,23,False,False,0,,,,,,,,1 VARA DO TRABALHO DE BLUMENAU,1 Vara do Trabalho de Blumenau,NEUTRA,NEUTRA,,,NEUTRA,True
0000009-99.2026.5.12.0001,0000009-99.2026.5.12.0001,2026-01-02 08:00:00,1 VARA DO TRABALHO DE FLORIANOPOLIS,1 Vara do Trabalho de Florianopolis,1 VARA DO TRABALHO DE CHAPECO,1 Vara do Trabalho de Chapeco,2026-01-12 08:00:00,ATSUM - PROCEDIMENTO SUMARIO,5,4,True,FLORIANOPOLIS,Florianopolis,processos_01-01-2026.csv,24,True,True,2,1 VARA DO TRABALHO DE FLORIANOPOLIS,1 Vara do Trabalho de Florianopolis,5 VARA DO TRABALHO DE FLORIANOPOLIS,5 Vara do Trabalho de Florianopolis,2026-01-03 08:00:00,2026-01-04 08:00:00,,1 VARA DO TRABALHO DE FLORIANOPOLIS,1 Vara do Trabalho de Florianopolis,DESTINATARIA,CEDENTE,CEDENTE,DESTINATARIA,CEDENTE,True
0000010-10.2026.5.12.0001,0000010-10.2026.5.12.0001,2026-01-09 08:00:00,2 VARA DO TRABALHO DE FLORIANOPOLIS,2 Vara do Trabalho de Florianopolis,1 VARA DO TRABALHO DE JOINVILLE,1 Vara do Trabalho de Joinville,2026-01-13 08:00:00,ATSUM - PROCEDIMENTO SUMARIO,3,2,True,FLORIANOPOLIS,Florianopolis,processos_08-01-2026.csv,9,True,True,1,2 VARA DO TRABALHO DE FLORIANOPOLIS,2 Vara do Trabalho de Florianopolis,1 VARA DO TRABALHO DE JOINVILLE,1 Vara do Trabalho de Joinville,2026-01-10 08:00:00,2026-01-13 08:00:00,,2 VARA DO TRABALHO DE FLORIANOPOLIS,2 Vara do Trabalho de Florianopolis,DESTINATARIA,CEDENTE,CEDENTE,DESTINATARIA,CEDENTE,False
