processo,tipo_anomalia,descricao,arquivo_origem,numero_linha_arquivo
0000022-44.2026.5.12.0016,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,154
0002215-66.2025.5.12.0016,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,163
0001965-89.2025.5.12.0062,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,165
0002279-76.2025.5.12.0016,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,168
0001653-57.2025.5.12.0016,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,174
0000176-62.2026.5.12.0016,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,179
0002216-51.2025.5.12.0016,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,183
0000114-56.2025.5.12.0016,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,187
0001621-52.2025.5.12.0016,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,189
0002268-47.2025.5.12.0016,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,192
0002263-25.2025.5.12.0016,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,194
0001969-70.2025.5.12.0016,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,196
0001114-50.2025.5.12.0062,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,217
0000334-13.2025.5.12.0062,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,219
0001106-73.2025.5.12.0062,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,224
