unidade_norm,unidade_original,classificacao,quantidade_magistrados,quantidade,percentual_total,diferenca_absoluta_media,diferenca_percentual_media,processos_por_magistrado,diferenca_absoluta_media_magistrado,diferenca_percentual_media_magistrado,cenario
1 VARA DO TRABALHO DE BALNEARIO CAMBORIU,1ª VARA DO TRABALHO DE BALNEÁRIO CAMBORIÚ,NEUTRA,2.0,215,1.8742916920931045,23.816666666666663,12.45750152558626,107.5,-6.074257425742573,-5.348269549298229,COM_EQUALIZACAO
1 VARA DO TRABALHO DE BLUMENAU,1ª VARA DO TRABALHO DE BLUMENAU,DESTINATARIA,2.0,215,1.8742916920931045,23.816666666666663,12.45750152558626,107.5,-6.074257425742573,-5.348269549298229,COM_EQUALIZACAO
1 VARA DO TRABALHO DE BRUSQUE,1ª VARA DO TRABALHO DE BRUSQUE,DESTINATARIA,2.0,310,2.7024670909249413,118.81666666666666,62.148025455496466,155.0,41.42574257425743,36.47458809170953,COM_EQUALIZACAO
1 VARA DO TRABALHO DE CHAPECO,1ª VARA DO TRABALHO DE CHAPECÓ,CEDENTE,1.0,141,1.2291866445819895,-50.18333333333334,-26.24880132508064,141.0,27.425742574257427,24.147851102780926,COM_EQUALIZACAO
1 VARA DO TRABALHO DE CRICIUMA,1ª VARA DO TRABALHO DE CRICIÚMA,NEUTRA,2.0,260,2.2665853020660798,68.81666666666666,35.99511812396477,130.0,16.425742574257427,14.462557754337023,COM_EQUALIZACAO
1 VARA DO TRABALHO DE FLORIANOPOLIS,1ª VARA DO TRABALHO DE FLORIANÓPOLIS,NEUTRA,1.0,117,1.019963385929736,-74.18333333333334,-38.80219684421585,117.0,3.425742574257427,3.0163019789033227,COM_EQUALIZACAO
1 VARA DO TRABALHO DE ITAJAI,1ª VARA DO TRABALHO DE ITAJAÍ,NEUTRA,2.0,189,1.6476331618864963,-2.183333333333337,-1.142010286810219,94.5,-19.074257425742573,-16.794525324731932,COM_EQUALIZACAO
1 VARA DO TRABALHO DE JARAGUA DO SUL,1ª VARA DO TRABALHO DE JARAGUÁ DO SUL,NEUTRA,2.0,150,1.3076453665765844,-41.18333333333334,-21.541278005404934,75.0,-38.57425742574257,-33.96390898788248,COM_EQUALIZACAO
1 VARA DO TRABALHO DE JOINVILLE,1ª VARA DO TRABALHO DE JOINVILLE,CEDENTE,2.0,226,1.9701856856420539,34.81666666666666,18.211141138523228,113.0,-0.574257425742573,-0.5056228750762782,COM_EQUALIZACAO
1 VARA DO TRABALHO DE LAGES,1ª VARA DO TRABALHO DE LAGES,DESTINATARIA,1.0,140,1.2204690088048122,-51.18333333333334,-26.771859471711274,140.0,26.425742574257427,23.267369889286027,COM_EQUALIZACAO
1 VARA DO TRABALHO DE RIO DO SUL,1ª VARA DO TRABALHO DE RIO DO SUL,NEUTRA,2.0,188,1.6389155261093191,-3.183333333333337,-1.6650684334408528,94.0,-19.574257425742573,-17.23476593147938,COM_EQUALIZACAO
1 VARA DO TRABALHO DE TUBARAO,1ª VARA DO TRABALHO DE TUBARÃO,DESTINATARIA,2.0,210,1.8307035132072182,18.816666666666663,9.84221079243309,105.0,-8.574257425742573,-7.54947258303548,COM_EQUALIZACAO
1 VARA DO TRABALHO SAO JOSE,1ª VARA DO TRABALHO SÃO JOSÉ,NEUTRA,2.0,220,1.9178798709789904,28.816666666666663,15.072792258739428,110.0,-3.574257425742573,-3.147066515560979,COM_EQUALIZACAO
2 VARA DO TRABALHO DE BALNEARIO CAMBORIU,2ª VARA DO TRABALHO DE BALNEÁRIO CAMBORIÚ,NEUTRA,2.0,221,1.9265975067561676,29.816666666666663,15.595850405370063,110.5,-3.074257425742573,-2.7068259088135287,COM_EQUALIZACAO
2 VARA DO TRABALHO DE BLUMENAU,2ª VARA DO TRABALHO DE BLUMENAU,DESTINATARIA,2.0,207,1.8045506058756866,15.816666666666663,8.273036352541189,103.5,-10.074257425742573,-8.87019440327783,COM_EQUALIZACAO
2 VARA DO TRABALHO DE BRUSQUE,2ª VARA DO TRABALHO DE BRUSQUE,DESTINATARIA,1.0,170,1.481998082120129,-21.183333333333337,-11.08011507279226,170.0,56.42574257425743,49.68180629413303,COM_EQUALIZACAO
2 VARA DO TRABALHO DE CHAPECO,2ª VARA DO TRABALHO DE CHAPECÓ,CEDENTE,1.0,148,1.29021009502223,-43.18333333333334,-22.5873942986662,148.0,34.42574257425743,30.311219597245227,COM_EQUALIZACAO
2 VARA DO TRABALHO DE CRICIUMA,2ª VARA DO TRABALHO DE CRICIÚMA,NEUTRA,2.0,153,1.333798273908116,-38.18333333333334,-19.972103565513034,76.5,-37.07425742574257,-32.643187167640136,COM_EQUALIZACAO
2 VARA DO TRABALHO DE FLORIANOPOLIS,2ª VARA DO TRABALHO DE FLORIANÓPOLIS,NEUTRA,2.0,197,1.717374248103914,5.816666666666663,3.042454886234851,98.5,-15.074257425742573,-13.27260047075233,COM_EQUALIZACAO
2 VARA DO TRABALHO DE ITAJAI,2ª VARA DO TRABALHO DE ITAJAÍ,NEUTRA,2.0,272,2.3711969313922063,80.81666666666666,42.27181588353238,136.0,22.425742574257427,19.745445035306428,COM_EQUALIZACAO
2 VARA DO TRABALHO DE JARAGUA DO SUL,2ª VARA DO TRABALHO DE JARAGUÁ DO SUL,NEUTRA,2.0,154,1.3425159096852932,-37.18333333333334,-19.449045418882402,77.0,-36.57425742574257,-32.202946560892684,COM_EQUALIZACAO
2 VARA DO TRABALHO DE JOINVILLE,2ª VARA DO TRABALHO DE JOINVILLE,CEDENTE,2.0,220,1.9178798709789904,28.816666666666663,15.072792258739428,110.0,-3.574257425742573,-3.147066515560979,COM_EQUALIZACAO
2 VARA DO TRABALHO DE LAGES,2ª VARA DO TRABALHO DE LAGES,DESTINATARIA,2.0,169,1.4732804463429516,-22.183333333333337,-11.603173219422894,84.5,-29.074257425742573,-25.59933745968093,COM_EQUALIZACAO
2 VARA DO TRABALHO DE RIO DO SUL,2ª VARA DO TRABALHO DE RIO DO SUL,NEUTRA,2.0,190,1.6563507976636735,-1.1833333333333371,-0.6189521401795852,95.0,-18.574257425742573,-16.354284717984484,COM_EQUALIZACAO
