unidade_cedente,unidade_destinataria,quantidade,participacao_pct
VARA DO TRABALHO DE SÃO MIGUEL DO OESTE,2ª VARA DO TRABALHO DE TUBARÃO,16,2.165087956698241
1ª VARA DO TRABALHO DE CHAPECÓ,2ª VARA DO TRABALHO DE LAGES,12,1.6238159675236805
4ª VARA DO TRABALHO DE CHAPECÓ,3ª VARA DO TRABALHO DE LAGES,11,1.4884979702300407
1ª VARA DO TRABALHO DE CHAPECÓ,VARA DO TRABALHO DE MAFRA,11,1.4884979702300407
1ª VARA DO TRABALHO DE CHAPECÓ,3ª VARA DO TRABALHO DE LAGES,11,1.4884979702300407
VARA DO TRABALHO DE XANXERÊ,1ª VARA DO TRABALHO DE BLUMENAU,10,1.3531799729364005
1ª VARA DO TRABALHO DE CHAPECÓ,VARA DO TRABALHO DE CANOINHAS,9,1.2178619756427604
VARA DO TRABALHO DE ITAPEMA,2ª VARA DO TRABALHO DE LAGES,9,1.2178619756427604
VARA DO TRABALHO DE ITAPEMA,VARA DO TRABALHO DE FRAIBURGO,9,1.2178619756427604
VARA DO TRABALHO DE SÃO MIGUEL DO OESTE,1ª VARA DO TRABALHO DE BLUMENAU,9,1.2178619756427604
VARA DO TRABALHO DE SÃO MIGUEL DO OESTE,2ª VARA DO TRABALHO DE LAGES,9,1.2178619756427604
VARA DO TRABALHO DE XANXERÊ,VARA DO TRABALHO DE SÃO BENTO DO SUL,9,1.2178619756427604
VARA DO TRABALHO DE XANXERÊ,2ª VARA DO TRABALHO DE TUBARÃO,9,1.2178619756427604
VARA DO TRABALHO DE XANXERÊ,4ª VARA DO TRABALHO DE BLUMENAU,9,1.2178619756427604
VARA DO TRABALHO DE SÃO MIGUEL DO OESTE,VARA DO TRABALHO DE MAFRA,8,1.0825439783491204
1ª VARA DO TRABALHO DE CHAPECÓ,VARA DO TRABALHO DE SÃO BENTO DO SUL,8,1.0825439783491204
1ª VARA DO TRABALHO DE CHAPECÓ,2ª VARA DO TRABALHO DE BLUMENAU,8,1.0825439783491204
4ª VARA DO TRABALHO DE CHAPECÓ,VARA DO TRABALHO DE SÃO BENTO DO SUL,8,1.0825439783491204
4ª VARA DO TRABALHO DE CHAPECÓ,VARA DO TRABALHO DE MAFRA,8,1.0825439783491204
