#Processos distribuídos e redistribuídos por OJ no 1º grau  detalhado
#Data Final: 15/08/2026; Indicador de Distribuição: NÃO PREENCHIDO; Órgão Julgador: NÃO PREENCHIDO; Município: NÃO PREENCHIDO; Data Inicial: 15/08/2026; Classe Processual: NÃO PREENCHIDO

#Total de registros: 63
#Relatório gerado em: 17 de ago. de 2026 10:18:40

#Processo;Indicador;Municipío Sede;Órgão Julgador;Classe Judicial;Data
0001696-61.2026.5.12.0047;Recebido Por Distribuição - Sorteio;ITAJAI;3ª VARA DO TRABALHO DE ITAJAÍ;Ação Trabalhista - Rito Sumaríssimo;15/08/2026 00:35:16
0001131-12.2026.5.12.0043;Recebido Por Distribuição - Sorteio;IMBITUBA;VARA DO TRABALHO DE IMBITUBA;Ação Trabalhista - Rito Ordinário;15/08/2026 01:47:29
0001132-94.2026.5.12.0043;Recebido Por Distribuição - Sorteio;IMBITUBA;VARA DO TRABALHO DE IMBITUBA;Ação Trabalhista - Rito Ordinário;15/08/2026 02:46:40
0000992-20.2026.5.12.0024;Recebido Por Distribuição - Sorteio;SAO BENTO DO SUL;VARA DO TRABALHO DE SÃO BENTO DO SUL;Ação Trabalhista - Rito Ordinário;15/08/2026 04:30:03
0000918-49.2026.5.12.0061;Recebido Por Distribuição - Sorteio;BRUSQUE;2ª VARA DO TRABALHO DE BRUSQUE;Ação Trabalhista - Rito Ordinário;15/08/2026 07:35:00
0000919-34.2026.5.12.0061;Recebido Por Distribuição - Outros;BRUSQUE;2ª VARA DO TRABALHO DE BRUSQUE;Cumprimento Provisório de Sentença;15/08/2026 09:00:07
0001697-46.2026.5.12.0047;Recebido Por Distribuição - Sorteio;ITAJAI;3ª VARA DO TRABALHO DE ITAJAÍ;Ação Trabalhista - Rito Ordinário;15/08/2026 09:03:11
0001222-04.2026.5.12.0011;Recebido Por Distribuição - Sorteio;RIO DO SUL;1ª VARA DO TRABALHO DE RIO DO SUL;Ação Trabalhista - Rito Sumaríssimo;15/08/2026 10:01:46
0001222-87.2026.5.12.0048;Recebido Por Distribuição - Sorteio;RIO DO SUL;2ª VARA DO TRABALHO DE RIO DO SUL;Ação Trabalhista - Rito Ordinário;15/08/2026 10:04:50
0001223-86.2026.5.12.0011;Recebido Por Distribuição - Outros;RIO DO SUL;1ª VARA DO TRABALHO DE RIO DO SUL;Ação Trabalhista - Rito Sumaríssimo;15/08/2026 10:07:15
0001223-72.2026.5.12.0048;Recebido Por Distribuição - Sorteio;RIO DO SUL;2ª VARA DO TRABALHO DE RIO DO SUL;Ação Trabalhista - Rito Ordinário;15/08/2026 10:22:15
0001813-84.2026.5.12.0004;Recebido Por Distribuição - Sorteio;JOINVILLE;1ª VARA DO TRABALHO DE JOINVILLE;Ação Trabalhista - Rito Ordinário;15/08/2026 10:49:47
0002076-57.2026.5.12.0056;Recebido Por Distribuição - Sorteio;NAVEGANTES;VARA DO TRABALHO DE NAVEGANTES;Ação Trabalhista - Rito Sumaríssimo;15/08/2026 10:50:18
0000990-22.2026.5.12.0001;Recebido Por Distribuição - Sorteio;FLORIANOPOLIS;1ª VARA DO TRABALHO DE FLORIANÓPOLIS;Ação Trabalhista - Rito Ordinário;15/08/2026 10:57:16
0001836-91.2026.5.12.0016;Recebido Por Distribuição - Sorteio;JOINVILLE;2ª VARA DO TRABALHO DE JOINVILLE;Ação Trabalhista - Rito Sumaríssimo;15/08/2026 11:15:12
0001802-80.2026.5.12.0028;Recebido Por Distribuição - Sorteio;JOINVILLE;3ª VARA DO TRABALHO DE JOINVILLE;Ação Trabalhista - Rito Sumaríssimo;15/08/2026 11:26:07
0002029-12.2026.5.12.0015;Recebido Por Distribuição - Sorteio;SAO MIGUEL DO OESTE;VARA DO TRABALHO DE SÃO MIGUEL DO OESTE;Ação Trabalhista - Rito Sumaríssimo;15/08/2026 11:31:34
0001224-57.2026.5.12.0048;Recebido Por Distribuição - Sorteio;RIO DO SUL;2ª VARA DO TRABALHO DE RIO DO SUL;Ação Trabalhista - Rito Ordinário;15/08/2026 11:33:08
0001225-42.2026.5.12.0048;Recebido Por Distribuição - Outros;RIO DO SUL;2ª VARA DO TRABALHO DE RIO DO SUL;Ação Trabalhista - Rito Ordinário;15/08/2026 11:44:59
0001003-04.2026.5.12.0039;Recebido Por Distribuição - Sorteio;BLUMENAU;3ª VARA DO TRABALHO DE BLUMENAU;Ação Trabalhista - Rito Sumaríssimo;15/08/2026 11:48:57
0002030-94.2026.5.12.0015;Recebido Por Distribuição - Sorteio;SAO MIGUEL DO OESTE;VARA DO TRABALHO DE SÃO MIGUEL DO OESTE;Ação Trabalhista - Rito Ordinário;15/08/2026 12:08:59
0001830-79.2026.5.12.0050;Recebido Por Distribuição - Sorteio;JOINVILLE;5ª VARA DO TRABALHO DE JOINVILLE;Ação Trabalhista - Rito Ordinário;15/08/2026 12:09:00
0000913-02.2026.5.12.0037;Recebido Por Distribuição - Sorteio;FLORIANOPOLIS;7ª VARA DO TRABALHO DE FLORIANÓPOLIS;Ação Trabalhista - Rito Sumaríssimo;15/08/2026 12:36:03
0001415-56.2026.5.12.0031;Recebido Por Distribuição - Sorteio;SAO JOSE;1ª VARA DO TRABALHO SÃO JOSÉ;Ação Trabalhista - Rito Ordinário;15/08/2026 12:44:39
